rank,portfolio,label,strategy,sample_status,sample_maturity,closed_trades,winning_trades,win_rate_pct,profit_factor,expectancy_eur,equity_eur,total_pnl_eur,total_return_pct,closed_pnl_eur,open_pnl_eur,open_positions,max_drawdown_pct,average_mfe_net_eur,average_mae_net_eur,average_profit_retained_pct,profit_retention_sample,comparison_score
13,SHADOW_RSI_SHORT_15X_10_RSI75,Scalp RSI Short 75 · €10 · 15x,rsi_extreme_reversal,PRELIMINARE,1,2,1,50.0,0.31092525740111093,-0.995112887976415,9998.009774224047,-1.9902257759531494,-0.019902257759531496,-1.99022577595283,0,0,0.03521032080774603,0.9416096542554717,-2.2708741901683034,45.51102964103612,1,-0.7552281809143863
14,SHADOW_RSI_SHORT_15X_50_RSI75,Scalp RSI Short 75 · €50 · 15x,rsi_extreme_reversal,PRELIMINARE,1,2,1,50.0,0.31092525740111093,-4.975564439882074,9990.048871120234,-9.951128879765747,-0.09951128879765747,-9.951128879764148,0,0,0.17605160403876652,4.7080482712773595,-11.354370950841519,45.511029641036096,1,-0.9228280742090067
15,SHADOW_4H_WIDE,Ampia 4H,confluence_trend,PRELIMINARE,1,4,1,25.0,1.3115535957382358,8.285602306830198,10029.78772414818,29.787724148180132,0.2978772414818013,33.14240922732079,-2.206522013628774,3,1.7543153214060057,46.49585881167795,-64.28361356094952,-190.77923382313932,2,-1.1442391500394473
16,SHADOW_GLOBAL_PURE,Global Confluence puro 1H,global_confluence_pure,PRELIMINARE,1,1,0,0.0,0.0,-55.58463099999995,9987.945607546812,-12.054392453188484,-0.12054392453188484,-55.58463099999995,45.00014744354046,1,1.1824945257287718,14.771078464393453,-60.59646985980937,-376.3071947250836,1,-2.60276252846976
17,SHADOW_EMA_TREND_1H,Benchmark trend following EMA 1H,ema_trend_following,PRELIMINARE,1,2,0,0.0,0.0,-53.397196977401556,9957.472782997578,-42.52721700242182,-0.4252721700242182,-106.79439395480311,66.75979283174811,3,1.0965166398537622,14.68837663256978,-58.739633185126415,-697.323201443597,2,-3.9622849540277034
18,SHADOW_COMBO_SCANNER,Combo Scanner,combo_scanner,PRELIMINARE,1,4,1,25.0,0.3403864671350417,-26.407061946142523,9942.146185411626,-57.85381458837401,-0.5785381458837401,-105.62824778457009,50.13090187779041,2,1.6938938006302695,43.3227269630822,-55.70959890235055,-157.6434434691871,4,-4.544371100535528
19,SHADOW_BOLLINGER_MR_1H,Benchmark Bollinger mean reversion 1H,bollinger_mean_reversion,PRELIMINARE,1,7,2,28.57142857142857,0.6574582607163157,-10.70353019967718,9921.233916814735,-78.7660831852645,-0.787660831852645,-74.92471139774027,-1.1265006899174075,2,1.6081311061170185,37.381797074670786,-54.16008665339031,-682.3196592274909,7,-5.22218029718007
20,SHADOW_1H_BALANCED_V2,Bilanciata 1H V2,confluence_trend_v2,IN ATTESA,0,0,0,0.0,0.0,0.0,10083.573134993701,83.57313499370139,0.8357313499370139,0.0,88.02673314584004,3,0.05555061706785636,0.0,0.0,0.0,0,-1000000.0
21,SHADOW_SOL_EMA_1H,Sol Ema 1H,ema_trend_following,IN ATTESA,0,0,0,0.0,0.0,0.0,10055.281495835892,55.2814958358922,0.552814958358922,0.0,57.37177361367,1,0.3418861530994582,0.0,0.0,0.0,0,-1000000.0
22,SHADOW_SOL_ADAPTIVE_1H,Sol Adaptive 1H,combo_adaptive,IN ATTESA,0,0,0,0.0,0.0,0.0,10047.684126917215,47.6841269172146,0.47684126917214603,0.0,49.66676580610367,1,0.11438785659513087,0.0,0.0,0.0,0,-1000000.0
23,SHADOW_DOGE_EMA_1H,Doge Ema 1H,ema_trend_following,IN ATTESA,0,0,0,0.0,0.0,0.0,10041.140756310864,41.14075631086416,0.4114075631086417,0.0,43.224089644197846,1,0.02777916694451051,0.0,0.0,0.0,0,-1000000.0
24,SHADOW_DOGE_DONCHIAN_1H,Doge Donchian 1H,donchian_breakout,IN ATTESA,0,0,0,0.0,0.0,0.0,10025.49185097868,25.491850978680304,0.254918509786803,0.0,27.835600978680407,1,0.24182954076304666,0.0,0.0,0.0,0,-1000000.0
25,SHADOW_RELATIVE_STRENGTH_V2,Forza relativa 1H V2,relative_strength_v2,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
26,SHADOW_RSI_LONG_15X_10_RSI15,Scalp RSI Long 15 · €10 · 15x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
27,SHADOW_RSI_LONG_15X_10_RSI20,Scalp RSI Long 20 · €10 · 15x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
28,SHADOW_RSI_LONG_15X_10_RSI25,Scalp RSI Long 25 · €10 · 15x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
29,SHADOW_RSI_LONG_15X_50_RSI15,Scalp RSI Long 15 · €50 · 15x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
30,SHADOW_RSI_LONG_15X_50_RSI20,Scalp RSI Long 20 · €50 · 15x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
31,SHADOW_RSI_LONG_15X_50_RSI25,Scalp RSI Long 25 · €50 · 15x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
32,SHADOW_RSI_LONG_5X_RSI15,Scalp RSI Long 15 · prudente · 5x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
33,SHADOW_RSI_LONG_5X_RSI20,Scalp RSI Long 20 · prudente · 5x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
34,SHADOW_RSI_LONG_5X_RSI25,Scalp RSI Long 25 · prudente · 5x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
35,SHADOW_RSI_SHORT_15X_10_RSI85,Scalp RSI Short 85 · €10 · 15x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
36,SHADOW_RSI_SHORT_15X_10_RSI80,Scalp RSI Short 80 · €10 · 15x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
37,SHADOW_RSI_SHORT_15X_50_RSI85,Scalp RSI Short 85 · €50 · 15x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
38,SHADOW_RSI_SHORT_15X_50_RSI80,Scalp RSI Short 80 · €50 · 15x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
39,SHADOW_RSI_SHORT_5X_RSI85,Scalp RSI Short 85 · prudente · 5x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
40,SHADOW_RSI_SHORT_5X_RSI80,Scalp RSI Short 80 · prudente · 5x,rsi_extreme_reversal,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
41,SHADOW_BTC_EMA_4H,Btc Ema 4H,ema_trend_following,IN ATTESA,0,0,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,-1000000.0
