generated_utc,portfolio,portfolio_label,is_main,strategy,strategy_label,equity_eur,balance_eur,unrealized_pnl_eur,month_pnl_eur,monthly_target_eur,target_progress_pct,open_positions,open_margin_eur,open_notional_eur,open_initial_risk_eur,open_stop_risk_eur,closed_trades,unique_market_events,winning_trades,win_rate_pct,profit_factor,expectancy_eur,net_pnl_closed_eur,average_mfe_net_eur,average_mae_net_eur,excursion_sample,average_signed_capture_pct,signed_capture_sample,average_winner_capture_pct,winner_capture_sample,average_profit_giveback_eur,average_profit_giveback_pct_of_mfe,giveback_sample,lost_after_positive_mfe_count,average_profit_retained_pct,profit_retention_sample,max_drawdown_pct
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_V3,Rapida 1H V3 Filtered — madre,False,momentum_breakout_v3_filtered,Momentum / breakout V3 Filtered,10054.686047747988,10047.170578147325,7.515469600663862,54.686047747987686,3000.0,1.8228682582662563,4,3086.770861687369,9260.312585062105,199.23062298697585,199.23062298697567,45,45,16,35.55555555555556,1.0584499670548788,1.1628381792912312,52.327718068105405,50.09750395150689,-35.95979317405076,45,-165.59681137637256,44,78.14517435243916,16,48.849018127298784,265.59681137637256,44,28,78.14517435243916,16,2.8871640138778907
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_V3_CAP75_V1,"Rapida V3 — score <7,5",False,momentum_breakout_v3_filtered,Momentum / breakout V3 Filtered,9880.06621177639,9816.850455779559,63.215755996831234,-119.93378822361046,3000.0,-3.997792940787016,3,2718.417823405159,8155.253470215477,147.9665252916236,98.95209032804202,14,14,3,21.428571428571427,0.53441584605417,-12.779965738404329,-178.9195203376606,38.79072381994966,-40.059740132369065,14,-195.0433883335361,14,98.84237075358625,3,51.57068955835399,295.04338833353614,14,11,98.84237075358625,3,2.4898301628907227
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_V3_NOHIGH_V1,Rapida V3 — no volatilità HIGH,False,momentum_breakout_v3_filtered,Momentum / breakout V3 Filtered,9854.561620097535,9789.922206591302,64.63941350623259,-145.43837990246539,3000.0,-4.847945996748846,3,2713.6050080730324,8140.815024219097,147.66269514450693,98.48412147127519,15,15,4,26.666666666666668,0.5724205786098411,-13.723640022839815,-205.85460034259722,36.81718538231358,-39.85325025675401,15,-224.7442058310445,15,98.9543049905819,4,50.540825405153406,324.7442058310445,15,11,98.9543049905819,4,2.956898978178087
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_V3_LONG_ONLY_V1,Rapida V3 — Long Only,False,momentum_breakout_v3_filtered,Momentum / breakout V3 Filtered,9884.309318007257,9884.309318007257,0,-115.69068199274261,3000.0,-3.8563560664247536,0,0,0,0,0,8,8,1,12.5,0.3710234106574293,-14.46133524909315,-115.6906819927452,38.692713904563604,-37.551062576628304,8,-284.35209590829913,8,98.68793393380992,1,53.15404915365676,384.3520959082992,8,7,98.68793393380992,1,2.0717034208685905
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_V3_LONG_NOHIGH_CAP75_V1,"Rapida V3 — Long + no HIGH + score <7,5",False,momentum_breakout_v3_filtered,Momentum / breakout V3 Filtered,9838.216785781595,9838.216785781595,0,-161.7832142184052,3000.0,-5.392773807280173,0,0,0,0,0,7,7,1,14.285714285714285,0.2969904428079022,-23.11188774548615,-161.78321421840306,32.3700986171372,-40.693420131768,7,-343.813340550981,7,98.68793393381023,1,55.481986362623346,443.8133405509811,7,6,98.68793393381023,1,1.9577323490357796
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_V3_NO_ESPORTS_V1,Rapida V3 — senza ESPORTS,False,momentum_breakout_v3_filtered,Momentum / breakout V3 Filtered,9880.06621177639,9816.850455779559,63.215755996831234,-119.93378822361046,3000.0,-3.997792940787016,3,2718.417823405159,8155.253470215477,147.9665252916236,98.95209032804202,14,14,3,21.428571428571427,0.53441584605417,-12.779965738404329,-178.9195203376606,38.79072381994966,-40.059740132369065,14,-195.0433883335361,14,98.84237075358625,3,51.57068955835399,295.04338833353614,14,11,98.84237075358625,3,2.4898301628907227
2026-07-22T13:08:47+00:00,SHADOW_1H_FAST_V3_LONG_NOHIGH_CAP75_LOCK_V1,Rapida V3 — qualità completa + profit lock,False,momentum_breakout_v3_filtered,Momentum / breakout V3 Filtered,9798.076246247298,9798.076246247298,0,-201.9237537527024,3000.0,-6.730791791756746,0,0,0,0,0,7,7,2,28.57142857142857,0.27534990899863,-28.846250536100236,-201.92375375270166,32.32729734740962,-45.31352176084438,7,-358.95782046917105,7,57.6704990132282,2,61.173547883509855,458.95782046917105,7,5,57.6704990132282,2,2.357750930285514
2026-07-22T13:08:47+00:00,SHADOW_4H_WIDE,Ampia 4H,False,confluence_trend,Confluenza trend,10050.515544370553,10086.809135947924,-36.29359157737034,50.51554437055347,3000.0,1.683851479018449,4,2235.8297170830174,4471.659434166035,201.27301753063932,201.27301753063955,12,12,3,25.0,1.2680674996926824,7.393088399292327,88.71706079150792,68.33504709474747,-41.887608522343555,10,-141.3399642490687,10,92.17871600939861,2,68.27076812400817,241.33996424906871,10,8,92.17871600939861,2,2.3689942186338424
2026-07-22T13:08:47+00:00,SHADOW_RELATIVE_STRENGTH,Forza relativa 1H V1,False,relative_strength,Forza relativa vs BTC V1,9992.31825827824,9978.649581766762,13.66867651147726,-7.681741721760773,3000.0,-0.25605805739202575,4,2690.9594631471614,5381.918926294323,199.5839543794808,149.65160927437125,20,20,6,30.0,0.9514336201841461,-0.9060633438727358,-18.121266877454715,39.318656980764715,-31.429600583808803,15,-30.552270759636073,11,50.195359863792675,2,58.35689897873289,130.55227075963606,11,9,50.195359863792675,2,2.532270148986313
2026-07-22T13:08:47+00:00,SHADOW_RELATIVE_STRENGTH_V2,Forza relativa 1H V2,False,relative_strength_v2,Forza relativa vs BTC V2,10196.608194602246,10215.865497351295,-19.257302749048367,196.60819460224593,3000.0,6.553606486741531,3,2440.9309457488894,4881.861891497779,153.25210335515453,101.57179914262905,20,20,7,35.0,1.399083409239987,10.931015367934968,218.62030735869936,62.59041579742366,-41.37652669894056,20,-270.8884381460833,20,95.61750873862678,7,51.659400429488684,370.88843814608316,20,13,95.61750873862678,7,2.7565411254456937
2026-07-22T13:08:47+00:00,SHADOW_RSI_LONG_15X_10_RSI15,Scalp RSI Long 15 · €10 · 15x,False,rsi_extreme_reversal,Inversione RSI estrema 15m,10000.0,10000.0,0,0.0,3000.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
2026-07-22T13:08:47+00:00,SHADOW_RSI_LONG_15X_10_RSI20,Scalp RSI Long 20 · €10 · 15x,False,rsi_extreme_reversal,Inversione RSI estrema 15m,10000.0,10000.0,0,0.0,3000.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
2026-07-22T13:08:47+00:00,SHADOW_RSI_LONG_15X_10_RSI25,Scalp RSI Long 25 · €10 · 15x,False,rsi_extreme_reversal,Inversione RSI estrema 15m,10002.799159408147,10002.799159408147,0,2.7991594081468065,3000.0,0.09330531360489355,0,0,0,0,0,2,2,2,100.0,inf,1.3995797040738451,2.7991594081476903,1.5081948000351972,-0.8168632258748489,2,92.77144845996061,2,92.77144845996061,2,0.10861509596135221,7.228551540039383,2,0,92.77144845996061,2,0.008182873335790512
2026-07-22T13:08:47+00:00,SHADOW_RSI_LONG_15X_50_RSI15,Scalp RSI Long 15 · €50 · 15x,False,rsi_extreme_reversal,Inversione RSI estrema 15m,10000.0,10000.0,0,0.0,3000.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
2026-07-22T13:08:47+00:00,SHADOW_RSI_LONG_15X_50_RSI20,Scalp RSI Long 20 · €50 · 15x,False,rsi_extreme_reversal,Inversione RSI estrema 15m,10000.0,10000.0,0,0.0,3000.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
