generated_utc,system,profile,paper_portfolio,paper_label,paper_closed_trades,research_closed_trades,research_taken_by_paper,research_skipped_by_paper,paper_only_or_research_open,paper_profit_factor,paper_expectancy,research_profit_factor,research_expectancy,taken_profit_factor,taken_expectancy,skipped_profit_factor,skipped_expectancy,selection_delta,execution_delta,metric_unit,status
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_MASTER_ADAPTIVE_RUNNER25_V1,SHADOW_MASTER_ADAPTIVE_RUNNER25_V1,Master Adaptive Runner25 V1,17,35,6,29,11,0.5758833639585036,-0.3174457386900023,0.7347000912822063,-0.2152969692887079,1.3911729284057623,0.2781161213233673,0.618679662824036,-0.3173824363118959,0.5954985576352632,-0.5955618600133696,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_MASTER_ADAPTIVE_STRICT3_V1,SHADOW_MASTER_ADAPTIVE_STRICT3_V1,Master Adaptive Strict3 V1,24,37,15,22,9,0.5198943801864351,-0.4995664517050878,0.8012947681796245,-0.14623522179530027,0.6873579224486459,-0.2409673616548134,0.885363692189052,-0.0816451264365413,-0.1593222352182721,-0.25859909005027437,R,NESSUN EDGE CHIARO
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_MASTER_ADAPTIVE_V1,SHADOW_MASTER_ADAPTIVE_V1,Master Adaptive V1,15,47,5,42,10,0.5301876368708481,-0.4511396686025993,0.7397934542451664,-0.1919933900286952,0.46047089586876505,-0.4655514589480315,0.7794817407420689,-0.1594269532525837,-0.3061245056954478,0.014411790345432218,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,Forza relativa 1H V1,SHADOW_RELATIVE_STRENGTH,Forza relativa 1H V1,36,138,7,131,29,0.536331499953096,-0.33250867640608134,0.980522425025064,-0.013405266911555514,0.0,-0.7579042388023584,1.0385338261989596,0.026377120899403417,-0.7842813597017617,0.425395562396277,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,Forza relativa 1H V2,SHADOW_RELATIVE_STRENGTH_V2,Forza relativa 1H V2,45,58,24,34,21,1.0271954008253639,0.02748158596752391,1.4806632455597495,0.2916225349527846,1.2559387487616884,0.16575455338621972,1.6584581610583455,0.3804705219409481,-0.21471596855472838,-0.13827296741869582,R,PAPER SCARTA EDGE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_SCANNER_BOTTOM10_SHORT,SHADOW_SCANNER_BOTTOM10_SHORT,Scanner Bottom10 Short,7,7,2,5,5,0.2529234155489147,-0.5893330619188314,0.0,-1.0940748628871169,0.0,-1.1003731312160243,0.0,-1.091555555555554,-0.008817575660470256,0.5110400692971929,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_SCANNER_BOTTOM15_SHORT,SHADOW_SCANNER_BOTTOM15_SHORT,Scanner Bottom15 Short,7,7,2,5,5,0.2529234155489147,-0.5893330619188314,0.0,-1.0940748628871169,0.0,-1.1003731312160243,0.0,-1.091555555555554,-0.008817575660470256,0.5110400692971929,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_SCANNER_BOTTOM20_SHORT,SHADOW_SCANNER_BOTTOM20_SHORT,Scanner Bottom20 Short,7,7,2,5,5,0.2529234155489147,-0.5893330619188314,0.0,-1.0940748628871169,0.0,-1.1003731312160243,0.0,-1.091555555555554,-0.008817575660470256,0.5110400692971929,R,CAMPIONE INSUFFICIENTE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_SCANNER_BOTTOM5_SHORT,SHADOW_SCANNER_BOTTOM5_SHORT,Scanner Bottom 5 Short 1H,30,51,15,36,15,0.6638871045982719,-0.16379389791553164,0.7741620175293037,-0.15288892954977043,0.500584362143836,-0.38630283642966395,0.9126317982733944,-0.05563313501648147,-0.33066970141318247,0.2225089385141323,R,SELEZIONE DA RIVEDERE
2026-07-27T22:57:23+00:00,MAIN_PAPER_RESEARCH,SHADOW_SCANNER_BOTTOM5_SHORT_CONTINUATION_V1,SHADOW_SCANNER_BOTTOM5_SHORT_CONTINUATION_V1,Scanner Bottom5 Short Continuation V1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,CAMPIONE INSUFFICIENTE
