research_id,experiment_group_id,profile,portfolio_source,strategy,asset,side,timeframe_minutes,opened_at,closed_at,entry_price,exit_price,stop_price,target_price,stop_pct,target_pct,holding_hours,close_reason,normalized_risk_eur,normalized_notional_eur,gross_pnl_eur,costs_eur,net_pnl_eur,r_multiple,max_favorable_price,max_adverse_price,mfe_gross_eur,mae_gross_eur,mfe_net_eur,mae_net_eur,mfe_r,mae_r,mfe_pct,mae_pct,mfe_at_utc,mae_at_utc,excursion_observation_count,excursion_quality,excursion_exit_candle_ambiguity,last_excursion_candle,score,confidence,entry_regime,entry_regime_family,entry_regime_confidence,entry_volatility_state,entry_btc_trend_score,entry_btc_adx,entry_breadth_above_ema50_pct,entry_alt_relative_median_pct,entry_dispersion_pct,exit_regime,exit_regime_family,exit_regime_confidence,initial_stop_price,final_stop_price,risk_price,exit_profile,remaining_fraction,realized_gross_eur,realized_exit_fees_eur,partial_take_profit_enabled,partial_take_profit_at_r,partial_take_profit_fraction,partial_take_profit_done,partial_take_profit_exit_price,partial_take_profit_closed_at,partial_realized_net_eur,runner_enabled,runner_partial_at_r,runner_partial_fraction,runner_target_r,runner_lock_r,runner_partial_done,runner_partial_exit_price,runner_partial_closed_at,runner_lock_applied_r,runner_lock_pending,partial_trigger_price,trailing_at_r,trailing_atr_multiple,atr_pct,mfe_trail_enabled,mfe_breakeven_at_r,mfe_lock_at_r,mfe_lock_r,mfe_giveback_start_r,mfe_giveback_fraction,mfe_trail_last_favorable_r,mfe_trail_last_stop_r,last_processed_candle,execution_model_version,signal_time_source,exit_timeframe_minutes,sample_cohort
SHADOW_1H_FAST|VELVET|60|2026-07-13T09:00:00+00:00|LONG,40ff0427d48373107e54,SHADOW_1H_FAST,SHADOW_1H_FAST,momentum_breakout,VELVET,LONG,60,2026-07-13T10:15:54+00:00,2026-07-13T14:00:00+00:00,0.59454,0.5523492715289999,0.5523492715289999,0.6578260956792,0.07096365,0.10644548,3.735,STOP,10.0,140.9172160676628,-10.000000000000005,0.22546754570826047,-10.225467545708266,-1.0225467545708267,,,,,,,,,,,,,,,,,6.75,BUONA,RANGE,RANGE,80.4,NORMAL,0.0,18.078,8.333,-0.1364,17.7014,RANGE,RANGE,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHADOW_RELATIVE_STRENGTH|VELVET|60|2026-07-13T09:00:00+00:00|LONG,40ff0427d48373107e54,SHADOW_RELATIVE_STRENGTH,SHADOW_RELATIVE_STRENGTH,relative_strength,VELVET,LONG,60,2026-07-13T10:15:54+00:00,2026-07-13T14:00:00+00:00,0.59454,0.5402947768308,0.5402947768308,0.7138794933504,0.09123898,0.20072576,3.735,STOP,10.0,109.60227744764354,-9.999999999999996,0.1753636439162297,-10.175363643916226,-1.0175363643916226,,,,,,,,,,,,,,,,,6.75,BUONA,RANGE,RANGE,80.4,NORMAL,0.0,18.078,8.333,-0.1364,17.7014,RANGE,RANGE,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHADOW_1H_BALANCED|XRP|60|2026-07-13T00:00:00+00:00|SHORT,45428268a0d945b123f8,SHADOW_1H_BALANCED,SHADOW_1H_BALANCED,confluence_trend,XRP,SHORT,60,2026-07-13T01:07:33+00:00,2026-07-13T17:00:00+00:00,1.09034,1.058938208,1.106040896,1.058938208,0.0144,0.0288,15.874166666666667,TARGET,10.0,694.4444444444445,20.000000000000032,1.1111111111111112,18.88888888888892,1.8888888888888922,,,,,,,,,,,,,,,,,-6.398,BUONA,ALT_ROTATION_UP,ALT_ROTATION,74.7,NORMAL,1.0,15.024,58.333,1.4828,57.7263,RANGE_HIGH_VOL,RANGE,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHADOW_1H_BALANCED|ADA|60|2026-07-13T00:00:00+00:00|SHORT,7a7376cef34692335c18,SHADOW_1H_BALANCED,SHADOW_1H_BALANCED,confluence_trend,ADA,SHORT,60,2026-07-13T01:07:33+00:00,2026-07-13T17:00:00+00:00,0.16214,0.1569121556508,0.1647539221746,0.1569121556508,0.01612139,0.03224278,15.874166666666667,TARGET,10.0,620.2939076593271,20.000000000000018,0.9924702522549235,19.007529747745096,1.9007529747745096,,,,,,,,,,,,,,,,,-6.6456,BUONA,ALT_ROTATION_UP,ALT_ROTATION,74.7,NORMAL,1.0,15.024,58.333,1.4828,57.7263,RANGE_HIGH_VOL,RANGE,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHADOW_1H_BALANCED|HYPE|60|2026-07-13T07:00:00+00:00|SHORT,4c13db0c678c8a0b40af,SHADOW_1H_BALANCED,SHADOW_1H_BALANCED,confluence_trend,HYPE,SHORT,60,2026-07-13T08:02:22+00:00,2026-07-13T16:00:00+00:00,65.54,63.25066682720001,66.6846665864,63.25066682720001,0.01746516,0.03493032,7.960555555555556,TARGET,10.0,572.5684734637415,19.999999999999975,0.9161095575419864,19.08389044245799,1.908389044245799,,,,,,,,,,,,,,,,,-5.2683,MEDIA,RANGE,RANGE,80.4,NORMAL,0.0,18.078,8.333,0.3245,10.5848,RANGE_HIGH_VOL,RANGE,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHADOW_1H_BALANCED|LAB|60|2026-07-13T15:00:00+00:00|SHORT,940228fe2828e4e9c599,SHADOW_1H_BALANCED,SHADOW_1H_BALANCED,confluence_trend,LAB,SHORT,60,2026-07-13T16:08:38+00:00,2026-07-13T17:00:00+00:00,0.3296,0.250496,0.36915200000000004,0.250496,0.12,0.24,0.8561111111111112,TARGET,10.0,83.33333333333334,20.0,0.13333333333333336,19.866666666666667,1.9866666666666668,,,,,,,,,,,,,,,,,-6.75,BUONA,RANGE,RANGE,80.4,NORMAL,0.0,20.853,8.333,-0.3759,14.816,RANGE_HIGH_VOL,RANGE,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHADOW_1H_FAST|LAB|60|2026-07-13T15:00:00+00:00|SHORT,940228fe2828e4e9c599,SHADOW_1H_FAST,SHADOW_1H_FAST,momentum_breakout,LAB,SHORT,60,2026-07-13T16:08:38+00:00,2026-07-13T17:00:00+00:00,0.3296,0.270272,0.36915200000000004,0.270272,0.12,0.18,0.8561111111111112,TARGET,10.0,83.33333333333334,14.999999999999996,0.13333333333333336,14.866666666666664,1.4866666666666664,,,,,,,,,,,,,,,,,-6.75,BUONA,RANGE,RANGE,80.4,NORMAL,0.0,20.853,8.333,-0.3759,14.816,RANGE_HIGH_VOL,RANGE,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHADOW_1H_FAST|EVAA|60|2026-07-13T15:00:00+00:00|SHORT,6f6c448f9a4bf62b052b,SHADOW_1H_FAST,SHADOW_1H_FAST,momentum_breakout,EVAA,SHORT,60,2026-07-13T16:08:38+00:00,2026-07-13T17:00:00+00:00,0.6969,0.780528,0.780528,0.571458,0.12,0.18,0.8561111111111112,STOP,10.0,83.33333333333334,-10.00000000000001,0.13333333333333336,-10.133333333333344,-1.0133333333333343,,,,,,,,,,,,,,,,,-7.75,ALTA,RANGE,RANGE,80.4,NORMAL,0.0,20.853,8.333,-0.3759,14.816,RANGE_HIGH_VOL,RANGE,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHADOW_RELATIVE_STRENGTH|LAB|60|2026-07-13T15:00:00+00:00|SHORT,940228fe2828e4e9c599,SHADOW_RELATIVE_STRENGTH,SHADOW_RELATIVE_STRENGTH,relative_strength,LAB,SHORT,60,2026-07-13T16:08:38+00:00,2026-07-13T17:00:00+00:00,0.3296,0.2425856,0.36915200000000004,0.2425856,0.12,0.264,0.8561111111111112,TARGET,10.0,83.33333333333334,22.000000000000004,0.13333333333333336,21.86666666666667,2.186666666666667,,,,,,,,,,,,,,,,,-6.75,BUONA,RANGE,RANGE,80.4,NORMAL,0.0,20.853,8.333,-0.3759,14.816,RANGE_HIGH_VOL,RANGE,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN|LAB|240|2026-07-13T04:00:00+00:00|SHORT,e3121fc97cc5dc48a5d6,MAIN,MAIN,confluence_trend,LAB,SHORT,240,2026-07-13T08:02:22+00:00,2026-07-13T16:00:00+00:00,0.34767,0.2642292,0.3893904,0.2642292,0.12,0.24,7.960555555555556,TARGET,10.0,83.33333333333334,20.0,0.13333333333333336,19.866666666666667,1.9866666666666668,,,,,,,,,,,,,,,,,-7.75,ALTA,RANGE,RANGE,80.4,NORMAL,0.0,18.078,8.333,0.3245,10.5848,RANGE,RANGE,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
